都道府県名,特殊作業員,普通作業員,軽作業員,造園工,法面工,とび工,石工,ブロック工,電工,鉄筋工,鉄骨工,塗装工,溶接工,運転手（特殊）,運転手（一般）,潜かん工,潜かん世話役,さく岩工,トンネル特殊工,トンネル作業員,トンネル世話役,橋りょう特殊工,橋りょう塗装工,橋りょう世話役,土木一般世話役,高級船員,普通船員,潜水士,潜水連絡員,潜水送気員,山林砂防工,軌道工,型わく工,大工,左官,配管工,はつり工,防水工,板金工,タイル工,サッシ工,内装工,ガラス工,建具工,ダクト工,保温工,設備機械工,交通誘導警備員A,交通誘導警備員B
北海道,16700,13800,11500,16900,20200,18200,,,17700,18600,19100,18600,20400,16600,14000,27400,32400,21600,25500,21400,28700,24000,24300,29500,18800,23300,18500,32000,20900,20000,,23000,17900,19200,19200,17300,19400,20100,19300,20400,19300,18800,17000,16900,17200,19900,19200,10600,9100
青森県,19700,14600,11000,16900,20900,19200,,,16300,20300,18100,17200,19400,21300,19400,27300,32400,22600,26500,21000,29300,23900,25700,29000,22400,24300,19100,37300,23100,23400,,25100,23300,20500,20700,17000,19100,18100,19100,18700,21100,18800,18100,15600,15700,18800,17900,10000,8800
岩手県,19700,16400,12000,17700,23200,19300,,,17200,21300,19100,18800,20500,21800,18500,28700,34000,23700,29000,22200,30800,25200,27000,31700,22400,24300,19100,40700,25200,25800,,27400,24700,22200,23200,18200,20100,19100,20300,19500,22100,19800,19000,16400,16600,18800,17900,11200,9800
宮城県,21100,16400,12900,18700,24000,22100,,,17600,25900,21800,22200,22200,23200,20800,28800,34100,23800,30900,22200,30900,25200,27100,34800,22700,24300,19100,44800,27700,28100,,30300,28000,24400,25300,19000,20100,21200,22100,19600,24000,21800,19100,16400,16900,18800,17900,12300,10600
秋田県,18700,14700,11800,17500,21000,18900,,,16600,20900,18700,18600,19900,20500,19800,27700,32800,22900,26900,21300,29700,24300,26100,30000,23300,24300,19100,38600,23700,24100,,25400,20900,22700,21000,16200,19300,18700,19000,18900,21300,18900,18400,15600,15800,19000,17900,10100,8700
山形県,18700,14700,12400,17800,20000,19000,,,17600,21200,19400,20600,20800,19300,17600,27600,32700,22800,28900,21200,29500,24200,25900,29400,21700,24300,19900,38800,23900,24300,,23700,21200,19800,20600,18300,19200,20800,19800,18800,20900,20000,18300,15600,17600,18900,17900,11400,9800
福島県,21000,16300,14000,18300,23100,21700,,,18000,22700,20300,21700,21700,19600,17600,28800,34000,23800,28000,21900,30800,25200,27100,30900,20400,24300,19900,40700,25200,25700,,31600,20800,23100,21700,18700,20100,21500,21200,19600,22500,21500,19100,16400,17300,18800,17900,12200,10500
茨城県,19400,17200,12600,19400,21900,23100,24500,22700,19200,22800,21300,22600,25500,21000,17300,26600,31600,24500,25800,21900,28800,26900,28000,30100,21800,28900,21700,34300,22000,24000,25500,41000,22500,23400,24000,20200,22600,24200,24200,,23200,25000,22400,21800,20200,20800,21100,12300,11100
栃木県,19300,16900,12500,19300,23300,21900,24800,22700,18900,22700,22200,23600,26200,19000,18100,26900,31800,24600,26500,22200,29100,27200,28200,30400,21700,28900,21700,34500,22600,24300,25500,41700,22300,23600,24300,20300,22700,25000,24600,,23300,25400,22500,21800,20000,21000,21100,12000,10400
群馬県,19300,17300,13200,19100,24200,20700,23800,22400,18500,22100,21600,20500,24400,19300,16300,26700,31600,24500,27600,22100,28900,27000,28100,30400,21800,29000,21700,35900,22100,23700,25500,38700,22200,22900,21400,18300,22600,23100,22500,,22500,24700,22400,21800,18900,20800,21100,11400,10000
埼玉県,20600,18300,13200,19200,23300,24000,24300,,20400,24300,22600,24000,25500,22000,19100,26600,31500,24400,25600,21900,28800,27800,27900,30500,22200,27600,21700,35700,25400,25400,25500,41700,23400,,24100,20000,22500,25900,24900,,22900,25100,22300,21800,20100,20700,21100,12200,10900
千葉県,21400,18100,13100,20100,23200,24800,24700,,21500,25200,22500,24200,25600,21300,19000,26600,31500,24400,25400,21800,28700,27200,27900,30500,22700,27600,21700,35700,25400,25400,25500,42700,22600,,24600,20500,22500,26000,25000,,23000,24700,22300,21800,20200,20700,21100,12600,10900
東京都,22000,19200,13700,20100,24400,24600,24700,,23600,24800,23200,25400,27200,21600,17900,26600,31500,24400,25200,21800,28700,27000,27900,30900,23300,27600,21700,36900,25400,25200,25500,40700,23500,,24900,20700,22500,26900,25000,,23100,24900,22300,21800,20500,20700,21100,12800,11100
神奈川県,22200,19200,13400,19600,23200,24600,24500,23000,21600,23400,23200,25400,27900,22500,19200,26600,31500,24400,25200,21800,28700,26800,27900,30200,23700,27600,21700,36200,24600,24300,25500,39500,23400,,24200,19900,22500,24600,24500,,22700,25200,22300,21800,19800,20700,21100,13000,11300
山梨県,20900,18900,13000,19500,23800,22000,24400,22900,21100,22800,23400,24000,26800,21400,18500,26600,31600,24500,26900,21900,28800,26900,28000,29700,22500,27500,21600,36600,24200,24300,25500,39100,23400,,23800,19900,22600,24300,24200,,22800,25300,22400,21800,19700,20800,21100,11800,10300
長野県,20200,17400,13800,18800,22900,21500,23200,22300,19000,21200,21800,21400,23500,19200,16800,26800,31700,24600,27000,22100,29000,27000,28200,29100,21900,27700,21700,34800,22900,24100,25500,34300,20300,22500,20400,18300,22700,22600,22600,,22100,24100,22500,21800,18400,20900,21100,10800,9300
新潟県,18300,15500,13400,17500,21700,18800,,,17500,19700,18500,19100,20100,18100,15900,27400,32400,,27800,20300,28200,23500,28300,26700,19300,24200,20000,33800,20500,22200,22700,24500,18700,19000,18700,18000,18500,19000,19400,,21700,19800,18800,,17700,19500,19700,11300,9800
富山県,19500,16500,12700,17300,23100,21000,,,18500,21200,20500,20400,21000,19200,15900,27400,32500,,27500,20200,28300,23400,28400,27300,20300,24200,20000,34500,20600,22800,22700,28400,20700,19500,19300,18100,18500,19000,19700,,21000,19700,18800,,18200,19600,19700,11200,10200
石川県,19700,17000,12600,17600,23200,21100,,,19400,20800,20100,20100,20700,18700,16600,27400,32400,,26200,20500,28200,23600,28300,27800,22000,24200,20100,33300,21300,21400,22700,28900,20300,19500,19000,18000,18500,19800,19900,,20600,19100,18800,,18300,19500,19700,11600,10100
岐阜県,19600,17500,13000,18600,22600,21700,,24400,19300,20900,20700,21200,23200,20400,17600,27100,32100,23500,26100,21700,28000,25200,27300,28300,21900,25100,20200,32000,20900,20500,25200,32800,22400,22600,20300,18900,21500,20700,20600,,21600,21100,20600,19200,18100,21500,22200,11500,10300
静岡県,19400,18400,11800,18600,22200,21100,25000,25500,20400,21400,22500,22500,25000,19900,17300,27100,32000,23400,27300,21400,28000,25900,27300,28500,22100,25100,20200,36400,22700,23300,25200,35100,21100,,21500,19300,21400,22800,21500,,21400,26400,20600,19200,19800,21400,22200,11900,10100
