id,適用日,職種,都道府県,労務単価
0,2015/02/01,特殊作業員,北海道,16700
1,2015/02/01,普通作業員,北海道,13800
2,2015/02/01,軽作業員,北海道,11500
3,2015/02/01,造園工,北海道,16900
4,2015/02/01,法面工,北海道,20200
5,2015/02/01,とび工,北海道,18200
6,2015/02/01,石工,北海道,
7,2015/02/01,ブロック工,北海道,
8,2015/02/01,電工,北海道,17700
9,2015/02/01,鉄筋工,北海道,18600
10,2015/02/01,鉄骨工,北海道,19100
11,2015/02/01,塗装工,北海道,18600
12,2015/02/01,溶接工,北海道,20400
13,2015/02/01,運転手（特殊）,北海道,16600
14,2015/02/01,運転手（一般）,北海道,14000
15,2015/02/01,潜かん工,北海道,27400
16,2015/02/01,潜かん世話役,北海道,32400
17,2015/02/01,さく岩工,北海道,21600
18,2015/02/01,トンネル特殊工,北海道,25500
19,2015/02/01,トンネル作業員,北海道,21400
20,2015/02/01,トンネル世話役,北海道,28700
21,2015/02/01,橋りょう特殊工,北海道,24000
22,2015/02/01,橋りょう塗装工,北海道,24300
23,2015/02/01,橋りょう世話役,北海道,29500
24,2015/02/01,土木一般世話役,北海道,18800
25,2015/02/01,高級船員,北海道,23300
26,2015/02/01,普通船員,北海道,18500
27,2015/02/01,潜水士,北海道,32000
28,2015/02/01,潜水連絡員,北海道,20900
29,2015/02/01,潜水送気員,北海道,20000
30,2015/02/01,山林砂防工,北海道,
31,2015/02/01,軌道工,北海道,23000
32,2015/02/01,型わく工,北海道,17900
33,2015/02/01,大工,北海道,19200
34,2015/02/01,左官,北海道,19200
35,2015/02/01,配管工,北海道,17300
36,2015/02/01,はつり工,北海道,19400
37,2015/02/01,防水工,北海道,20100
38,2015/02/01,板金工,北海道,19300
39,2015/02/01,タイル工,北海道,20400
40,2015/02/01,サッシ工,北海道,19300
41,2015/02/01,内装工,北海道,18800
42,2015/02/01,ガラス工,北海道,17000
43,2015/02/01,建具工,北海道,16900
44,2015/02/01,ダクト工,北海道,17200
45,2015/02/01,保温工,北海道,19900
46,2015/02/01,設備機械工,北海道,19200
47,2015/02/01,交通誘導警備員A,北海道,10600
48,2015/02/01,交通誘導警備員B,北海道,9100
1,2015/02/01,特殊作業員,青森県,19700
2,2015/02/01,普通作業員,青森県,14600
3,2015/02/01,軽作業員,青森県,11000
4,2015/02/01,造園工,青森県,16900
5,2015/02/01,法面工,青森県,20900
6,2015/02/01,とび工,青森県,19200
7,2015/02/01,石工,青森県,
8,2015/02/01,ブロック工,青森県,
9,2015/02/01,電工,青森県,16300
10,2015/02/01,鉄筋工,青森県,20300
11,2015/02/01,鉄骨工,青森県,18100
12,2015/02/01,塗装工,青森県,17200
13,2015/02/01,溶接工,青森県,19400
14,2015/02/01,運転手（特殊）,青森県,21300
15,2015/02/01,運転手（一般）,青森県,19400
16,2015/02/01,潜かん工,青森県,27300
17,2015/02/01,潜かん世話役,青森県,32400
18,2015/02/01,さく岩工,青森県,22600
19,2015/02/01,トンネル特殊工,青森県,26500
20,2015/02/01,トンネル作業員,青森県,21000
21,2015/02/01,トンネル世話役,青森県,29300
22,2015/02/01,橋りょう特殊工,青森県,23900
23,2015/02/01,橋りょう塗装工,青森県,25700
24,2015/02/01,橋りょう世話役,青森県,29000
25,2015/02/01,土木一般世話役,青森県,22400
26,2015/02/01,高級船員,青森県,24300
27,2015/02/01,普通船員,青森県,19100
28,2015/02/01,潜水士,青森県,37300
29,2015/02/01,潜水連絡員,青森県,23100
30,2015/02/01,潜水送気員,青森県,23400
31,2015/02/01,山林砂防工,青森県,
32,2015/02/01,軌道工,青森県,25100
33,2015/02/01,型わく工,青森県,23300
34,2015/02/01,大工,青森県,20500
35,2015/02/01,左官,青森県,20700
36,2015/02/01,配管工,青森県,17000
37,2015/02/01,はつり工,青森県,19100
38,2015/02/01,防水工,青森県,18100
39,2015/02/01,板金工,青森県,19100
40,2015/02/01,タイル工,青森県,18700
41,2015/02/01,サッシ工,青森県,21100
42,2015/02/01,内装工,青森県,18800
43,2015/02/01,ガラス工,青森県,18100
44,2015/02/01,建具工,青森県,15600
45,2015/02/01,ダクト工,青森県,15700
46,2015/02/01,保温工,青森県,18800
47,2015/02/01,設備機械工,青森県,17900
48,2015/02/01,交通誘導警備員A,青森県,10000
49,2015/02/01,交通誘導警備員B,青森県,8800
2,2015/02/01,特殊作業員,岩手県,19700
3,2015/02/01,普通作業員,岩手県,16400
4,2015/02/01,軽作業員,岩手県,12000
5,2015/02/01,造園工,岩手県,17700
6,2015/02/01,法面工,岩手県,23200
7,2015/02/01,とび工,岩手県,19300
8,2015/02/01,石工,岩手県,
9,2015/02/01,ブロック工,岩手県,
10,2015/02/01,電工,岩手県,17200
11,2015/02/01,鉄筋工,岩手県,21300
12,2015/02/01,鉄骨工,岩手県,19100
13,2015/02/01,塗装工,岩手県,18800
14,2015/02/01,溶接工,岩手県,20500
15,2015/02/01,運転手（特殊）,岩手県,21800
16,2015/02/01,運転手（一般）,岩手県,18500
17,2015/02/01,潜かん工,岩手県,28700
18,2015/02/01,潜かん世話役,岩手県,34000
19,2015/02/01,さく岩工,岩手県,23700
20,2015/02/01,トンネル特殊工,岩手県,29000
21,2015/02/01,トンネル作業員,岩手県,22200
22,2015/02/01,トンネル世話役,岩手県,30800
23,2015/02/01,橋りょう特殊工,岩手県,25200
24,2015/02/01,橋りょう塗装工,岩手県,27000
25,2015/02/01,橋りょう世話役,岩手県,31700
26,2015/02/01,土木一般世話役,岩手県,22400
27,2015/02/01,高級船員,岩手県,24300
28,2015/02/01,普通船員,岩手県,19100
29,2015/02/01,潜水士,岩手県,40700
30,2015/02/01,潜水連絡員,岩手県,25200
31,2015/02/01,潜水送気員,岩手県,25800
32,2015/02/01,山林砂防工,岩手県,
33,2015/02/01,軌道工,岩手県,27400
34,2015/02/01,型わく工,岩手県,24700
35,2015/02/01,大工,岩手県,22200
36,2015/02/01,左官,岩手県,23200
37,2015/02/01,配管工,岩手県,18200
38,2015/02/01,はつり工,岩手県,20100
39,2015/02/01,防水工,岩手県,19100
40,2015/02/01,板金工,岩手県,20300
41,2015/02/01,タイル工,岩手県,19500
42,2015/02/01,サッシ工,岩手県,22100
43,2015/02/01,内装工,岩手県,19800
44,2015/02/01,ガラス工,岩手県,19000
45,2015/02/01,建具工,岩手県,16400
46,2015/02/01,ダクト工,岩手県,16600
47,2015/02/01,保温工,岩手県,18800
48,2015/02/01,設備機械工,岩手県,17900
49,2015/02/01,交通誘導警備員A,岩手県,11200
50,2015/02/01,交通誘導警備員B,岩手県,9800
3,2015/02/01,特殊作業員,宮城県,21100
4,2015/02/01,普通作業員,宮城県,16400
5,2015/02/01,軽作業員,宮城県,12900
6,2015/02/01,造園工,宮城県,18700
7,2015/02/01,法面工,宮城県,24000
8,2015/02/01,とび工,宮城県,22100
9,2015/02/01,石工,宮城県,
10,2015/02/01,ブロック工,宮城県,
11,2015/02/01,電工,宮城県,17600
12,2015/02/01,鉄筋工,宮城県,25900
13,2015/02/01,鉄骨工,宮城県,21800
14,2015/02/01,塗装工,宮城県,22200
15,2015/02/01,溶接工,宮城県,22200
16,2015/02/01,運転手（特殊）,宮城県,23200
17,2015/02/01,運転手（一般）,宮城県,20800
18,2015/02/01,潜かん工,宮城県,28800
19,2015/02/01,潜かん世話役,宮城県,34100
20,2015/02/01,さく岩工,宮城県,23800
21,2015/02/01,トンネル特殊工,宮城県,30900
22,2015/02/01,トンネル作業員,宮城県,22200
23,2015/02/01,トンネル世話役,宮城県,30900
24,2015/02/01,橋りょう特殊工,宮城県,25200
25,2015/02/01,橋りょう塗装工,宮城県,27100
26,2015/02/01,橋りょう世話役,宮城県,34800
27,2015/02/01,土木一般世話役,宮城県,22700
28,2015/02/01,高級船員,宮城県,24300
29,2015/02/01,普通船員,宮城県,19100
30,2015/02/01,潜水士,宮城県,44800
31,2015/02/01,潜水連絡員,宮城県,27700
32,2015/02/01,潜水送気員,宮城県,28100
33,2015/02/01,山林砂防工,宮城県,
34,2015/02/01,軌道工,宮城県,30300
35,2015/02/01,型わく工,宮城県,28000
36,2015/02/01,大工,宮城県,24400
37,2015/02/01,左官,宮城県,25300
38,2015/02/01,配管工,宮城県,19000
39,2015/02/01,はつり工,宮城県,20100
40,2015/02/01,防水工,宮城県,21200
41,2015/02/01,板金工,宮城県,22100
42,2015/02/01,タイル工,宮城県,19600
43,2015/02/01,サッシ工,宮城県,24000
44,2015/02/01,内装工,宮城県,21800
45,2015/02/01,ガラス工,宮城県,19100
46,2015/02/01,建具工,宮城県,16400
47,2015/02/01,ダクト工,宮城県,16900
48,2015/02/01,保温工,宮城県,18800
49,2015/02/01,設備機械工,宮城県,17900
50,2015/02/01,交通誘導警備員A,宮城県,12300
51,2015/02/01,交通誘導警備員B,宮城県,10600
4,2015/02/01,特殊作業員,秋田県,18700
5,2015/02/01,普通作業員,秋田県,14700
6,2015/02/01,軽作業員,秋田県,11800
7,2015/02/01,造園工,秋田県,17500
8,2015/02/01,法面工,秋田県,21000
9,2015/02/01,とび工,秋田県,18900
10,2015/02/01,石工,秋田県,
11,2015/02/01,ブロック工,秋田県,
12,2015/02/01,電工,秋田県,16600
13,2015/02/01,鉄筋工,秋田県,20900
14,2015/02/01,鉄骨工,秋田県,18700
15,2015/02/01,塗装工,秋田県,18600
16,2015/02/01,溶接工,秋田県,19900
17,2015/02/01,運転手（特殊）,秋田県,20500
18,2015/02/01,運転手（一般）,秋田県,19800
19,2015/02/01,潜かん工,秋田県,27700
20,2015/02/01,潜かん世話役,秋田県,32800
21,2015/02/01,さく岩工,秋田県,22900
22,2015/02/01,トンネル特殊工,秋田県,26900
23,2015/02/01,トンネル作業員,秋田県,21300
24,2015/02/01,トンネル世話役,秋田県,29700
25,2015/02/01,橋りょう特殊工,秋田県,24300
26,2015/02/01,橋りょう塗装工,秋田県,26100
27,2015/02/01,橋りょう世話役,秋田県,30000
28,2015/02/01,土木一般世話役,秋田県,23300
